epoch,phase,epoch_loss,epoch_acc,best_acc
19,test,0.1346083173787955,"tensor(0.9636, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
20,train,0.12005475214033416,"tensor(0.9701, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
20,test,0.11679125738866401,"tensor(0.9745, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
21,train,0.11480809918858788,"tensor(0.9697, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
21,test,0.12154548253073837,"tensor(0.9697, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
22,train,0.11975909755687521,"tensor(0.9685, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
22,test,0.11753536473621022,"tensor(0.9709, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
23,train,0.10656187303740569,"tensor(0.9725, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
23,test,0.108921408273957,"tensor(0.9685, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
24,train,0.10099979397022363,"tensor(0.9741, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
24,test,0.10817565760829231,"tensor(0.9673, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
25,train,0.095353023710877,"tensor(0.9749, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
25,test,0.10839428823102604,"tensor(0.9697, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
26,train,0.09165087751216358,"tensor(0.9766, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
26,test,0.11044895421374928,"tensor(0.9636, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
27,train,0.09579804680564187,"tensor(0.9749, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
27,test,0.10175665716330211,"tensor(0.9745, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
28,train,0.09468308282018911,"tensor(0.9733, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
28,test,0.09575390846440286,"tensor(0.9709, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
29,train,0.08576342063570264,"tensor(0.9782, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
29,test,0.08760484944690358,"tensor(0.9758, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
30,train,0.0785565713243653,"tensor(0.9814, device='cuda:5', dtype=torch.float64)","tensor(0.9758, device='cuda:5', dtype=torch.float64)"
30,test,0.0883589905500412,"tensor(0.9794, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
31,train,0.07838217296082564,"tensor(0.9806, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
31,test,0.08751944662946644,"tensor(0.9794, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
32,train,0.07459475773452508,"tensor(0.9838, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
32,test,0.08588482653552836,"tensor(0.9794, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
33,train,0.07634700913922955,"tensor(0.9826, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
33,test,0.08828706542650859,"tensor(0.9745, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
