model,epoch_acc,total_precision,total_recall,total_f1score,flops,params
lstm_lr=0.001_,0.9111865162849426,0.9115852117538452,0.9111865162849426,0.9111873507499695,4.71453696,0.276483
avgnet_lr=0.001_nodes=420_w=11_,0.9116086959838867,0.913981020450592,0.9116086959838867,0.9114906787872314,3.798200496,0.499477
CNN2D_lr=0.001_,0.8420223593711853,0.8426513075828552,0.8420223593711853,0.8418254852294922,3.040088064,2.792067
MCLDNN_lr=0.001_,0.6666666865348816,0.5005749464035034,0.6666666865348816,0.5560660362243652,13.487748864,0.367269
dtsgnet_lr=0.001_nodes=420_w=11_segment_length=76_unfold_step=76_,0.3333333432674408,0.11159402132034302,0.3333333432674408,0.16720934212207794,0.786195456,0.209667
dtsgnet_lr=0.001_w=11_segment_length=76_unfold_step=76_,0.6666666865348816,0.5005749464035034,0.6666666865348816,0.5560660362243652,1.729618944,0.234243
