model,epoch_acc,total_precision,total_recall,total_f1score,flops,params
lstm_lr=0.001_,0.9828966856002808,0.983098566532135,0.9828966856002808,0.9827160239219666,0.187332096,0.13313
lstm_lr=0.001_,0.98575758934021,0.9859317541122437,0.98575758934021,0.9856952428817749,0.3286528,0.13313
